< 0.5 to < 0.5,< 0.5 to > 0.5,> 0.5 to > 0.5,> 0.5 to < 0.5
75.8,32.2,15.4,6.2
36.4,3.8,68.6,18.8
3.4,15.8,3.8,29.0
,9.8,8.4,4.8
,35.2,13.2,7.4
,5.2,19.0,12.4
,3.8,61.8,7.8
,7.8,21.2,42.8
,34.2,4.0,3.6
,5.6,7.4,41.0
,4.2,2.8,8.0
,2.6,8.2,4.4
,2.0,3.2,15.8
,14.4,9.6,4.4
,12.2,11.4,9.2
,6.8,3.4,3.8
,8.0,2.8,19.6
,5.4,6.0,5.4
,2.6,3.2,21.2
,4.6,15.8,6.6
,5.6,9.8,9.6
,3.8,9.4,11.2
,4.8,10.4,12.4
,2.0,19.0,8.2
,67.6,11.2,2.2
,7.6,5.2,6.4
,3.8,10.4,3.0
,3.0,4.4,2.6
,31.0,8.0,4.0
,28.4,19.4,20.0
,3.2,5.4,4.8
,5.6,75.2,3.8
,16.4,10.2,10.8
,4.6,43.6,6.6
,2.0,51.4,21.0
,5.2,8.6,24.2
,10.6,22.0,4.0
,3.8,38.8,5.2
,35.2,6.8,13.6
,19.0,9.8,31.0
,12.4,4.0,3.8
,2.4,9.6,27.6
,10.8,4.8,5.2
,6.2,6.0,8.2
,9.6,17.2,17.0
,53.2,14.4,7.0
,23.2,5.0,25.8
,14.0,4.0,10.8
,13.2,6.4,28.0
,13.4,10.2,2.2
,9.6,5.4,3.8
,13.6,21.0,48.8
,7.0,16.8,19.2
,2.2,35.2,33.4
,,6.4,5.4
,,3.8,18.4
,,8.6,17.6
,,93.0,10.2
,,61.4,7.4
,,26.2,7.2
,,3.2,24.0
,,7.0,4.8
,,22.2,7.0
,,5.6,22.8
,,53.0,15.2
,,28.4,29.6
,,4.6,64.8
,,12.4,119.4
,,26.2,15.2
,,3.0,105.6
,,14.6,48.6
,,4.8,
,,21.2,
,,12.2,
,,20.6,
,,132.6,
,,11.0,
,,2.4,
,,6.0,
,,6.6,
,,9.0,
,,2.0,
,,3.0,
,,28.2,
,,3.2,
,,10.8,
,,2.4,
,,4.2,
,,14.2,
,,10.4,
,,22.0,
,,7.8,
,,40.8,
,,34.6,
,,2.4,
,,4.0,
,,86.6,
,,3.4,
,,7.2,
,,55.6,
,,64.6,
,,43.2,
,,59.6,
,,43.6,
,,5.2,
,,15.4,
,,26.8,
,,23.2,
,,44.0,
,,7.6,
,,2.4,
,,2.4,
,,28.4,
,,14.8,
,,3.6,
,,3.2,
,,12.4,
,,3.2,
,,7.4,
,,70.0,
,,2.4,
,,4.0,
,,2.8,
,,9.6,
,,8.8,
,,70.0,
,,9.2,
,,7.6,
,,14.0,
,,49.0,
,,4.4,
,,34.4,
,,10.4,
,,63.8,
,,30.4,
,,30.4,
,,54.6,
,,6.4,
,,4.0,
,,44.0,
,,6.6,
,,33.2,
,,4.2,
,,11.6,
,,5.4,
,,6.6,
,,10.2,
,,24.6,
,,3.6,
,,5.4,
,,2.4,
,,5.2,
,,3.2,
,,5.0,
,,13.6,
,,8.4,
,,8.8,
,,8.6,
,,11.6,
,,3.6,
,,14.2,
,,3.0,
,,10.0,
,,19.0,
,,3.6,
,,2.2,
,,26.6,
,,4.0,
