< 0.5 to < 0.5,< 0.5 to > 0.5,> 0.5 to > 0.5,> 0.5 to < 0.5
6.4,4.2,22.0,3.8
151.6,27.6,24.8,2.0
4.8,62.4,3.8,5.6
86.2,4.4,6.0,4.8
4.2,21.0,5.4,7.2
15.8,2.2,4.0,5.8
9.2,4.6,5.2,7.6
4.6,28.4,12.4,7.8
2.0,8.8,2.2,12.8
3.0,47.6,7.2,3.2
3.2,11.0,18.6,18.0
12.6,4.2,9.4,5.0
13.0,3.2,2.2,3.0
6.2,8.0,9.0,3.2
3.4,16.2,3.2,2.2
260.6,23.4,5.0,12.0
102.6,40.4,6.2,43.4
38.0,200.8,18.8,10.8
55.4,89.4,33.2,6.8
7.4,20.2,61.0,29.8
70.2,20.8,9.0,9.4
26.2,5.2,2.8,3.0
3.0,61.0,25.4,3.6
8.8,31.6,10.0,26.4
2.4,3.6,19.2,7.0
5.2,10.2,4.8,3.0
158.8,3.8,17.8,11.8
11.8,54.8,4.6,6.0
17.8,99.8,7.8,3.6
4.2,5.8,4.4,4.2
6.4,2.0,3.2,2.4
5.0,9.6,48.6,3.0
2.4,4.6,87.2,8.0
5.2,5.8,63.2,12.2
5.8,8.2,67.2,10.2
4.8,9.2,4.8,2.0
10.6,36.4,2.6,5.2
2.8,6.6,2.8,7.0
2.0,73.0,4.0,32.4
6.2,4.0,20.4,10.8
3.0,39.4,20.0,14.0
4.2,78.8,5.0,2.0
6.4,28.8,11.8,4.8
3.6,291.0,9.2,15.8
7.4,39.6,7.0,4.0
46.2,146.4,67.8,3.2
4.4,33.8,95.2,5.0
4.6,16.4,16.4,6.4
2.0,50.0,4.2,2.8
144.8,74.6,7.0,5.6
12.2,27.8,6.6,2.4
38.8,80.2,5.2,11.4
3.0,12.0,15.0,5.6
27.8,56.8,2.0,4.2
15.2,17.2,5.4,4.4
4.2,230.4,3.0,5.2
25.8,22.8,2.0,23.4
22.4,4.2,3.4,5.8
10.2,51.6,46.4,18.4
17.4,124.6,3.4,5.6
5.6,68.8,19.8,4.2
2.0,4.4,20.8,2.2
6.4,145.6,3.8,2.0
5.0,123.4,2.8,4.6
14.4,148.0,3.8,5.4
14.8,43.8,2.4,60.6
13.4,23.6,3.2,2.6
2.0,5.8,3.8,2.8
11.4,4.4,12.2,3.4
4.4,6.2,6.2,26.4
7.8,8.2,17.0,3.8
3.8,8.0,2.0,10.0
10.4,2.4,8.2,2.6
2.6,3.4,34.0,2.4
4.2,9.4,45.4,3.8
4.2,3.0,13.0,5.4
6.6,8.4,22.4,9.4
166.4,4.2,2.8,4.0
23.4,10.8,2.6,11.0
12.2,259.8,22.8,2.2
6.8,21.2,3.4,2.8
7.8,13.8,12.2,2.4
130.6,272.8,2.6,2.0
33.4,251.2,3.8,6.2
4.2,2.6,7.2,15.4
48.2,4.4,9.0,16.6
4.2,41.4,20.8,19.0
79.6,5.4,25.6,4.8
2.0,2.0,28.6,4.8
2.6,12.0,9.2,5.0
181.8,6.4,3.4,3.4
29.0,4.0,6.2,27.8
5.6,36.8,15.4,43.8
143.0,7.2,2.4,9.0
71.6,4.8,2.4,2.8
8.6,39.8,2.0,2.6
134.6,158.4,2.8,2.2
12.4,6.8,12.6,2.4
55.8,2.0,2.6,3.6
3.6,24.6,2.8,14.2
18.4,24.4,2.0,12.4
12.8,7.4,5.2,12.4
5.4,69.6,10.0,11.6
133.2,24.4,6.8,2.2
7.2,36.6,10.8,4.6
8.2,2.2,4.2,6.8
243.2,9.4,4.2,2.4
5.8,40.8,8.4,3.2
2.6,43.6,12.6,7.2
6.0,33.0,27.4,5.6
30.8,5.2,11.4,4.2
11.8,100.6,4.6,4.2
293.4,22.0,6.0,2.0
67.4,11.2,10.0,7.2
50.2,11.2,3.2,3.8
131.0,107.2,30.8,14.4
2.4,167.2,42.4,16.2
3.4,2.0,21.6,24.0
2.2,20.4,11.4,10.8
15.8,4.6,2.6,3.8
2.6,2.6,29.6,10.2
7.8,9.8,31.4,16.6
2.6,9.4,3.8,6.8
8.8,39.6,7.8,16.2
2.6,3.8,16.0,7.8
3.2,10.0,10.8,18.4
5.6,31.4,57.8,11.0
6.2,272.2,7.0,3.2
2.8,11.6,13.6,4.4
3.6,6.6,3.8,8.2
6.6,3.8,6.8,4.8
3.0,2.4,9.2,3.2
6.8,15.8,18.4,8.4
17.2,43.6,8.4,2.6
2.0,12.0,4.0,4.0
5.0,56.4,10.8,2.0
2.0,54.6,2.2,14.2
20.4,24.8,5.0,
4.0,94.4,2.0,
6.6,3.2,3.8,
20.8,10.0,4.0,
19.0,5.8,6.8,
2.6,296.8,15.4,
23.8,30.0,8.8,
38.4,2.2,4.6,
119.6,76.8,2.8,
28.0,122.6,3.4,
17.8,134.8,6.6,
30.4,43.6,6.6,
6.0,2.2,6.0,
5.2,116.0,36.2,
13.2,9.8,5.2,
60.6,156.6,4.8,
2.2,7.4,3.0,
2.0,207.0,11.4,
11.6,339.6,2.4,
12.4,161.6,8.4,
6.8,18.0,3.0,
2.8,17.2,3.2,
9.0,49.8,7.0,
5.8,21.4,10.6,
5.8,78.8,7.0,
3.4,23.4,102.4,
6.6,2.0,4.2,
15.4,19.6,34.6,
2.0,9.6,8.8,
2.6,38.2,32.6,
21.0,46.6,9.8,
4.2,7.0,8.4,
7.4,179.2,4.0,
2.4,20.6,3.4,
18.0,15.4,2.0,
4.0,53.4,10.0,
9.0,64.2,28.2,
257.6,15.6,19.8,
11.6,159.6,31.8,
18.4,2.4,2.8,
43.0,10.8,10.0,
108.4,2.8,4.4,
95.0,81.8,28.8,
5.8,8.6,9.0,
10.2,8.0,20.2,
120.8,8.6,24.8,
2.8,9.8,20.2,
13.0,2.8,6.4,
57.8,6.4,2.4,
153.2,8.2,7.4,
9.8,11.8,4.6,
6.6,2.6,21.6,
4.8,10.2,9.8,
58.0,4.8,26.8,
43.0,11.8,33.2,
37.6,9.0,14.0,
10.0,2.0,46.2,
18.8,3.2,9.8,
2.4,67.8,5.0,
47.4,6.4,21.8,
4.6,3.6,13.6,
2.4,10.6,7.8,
63.8,3.8,3.8,
4.6,21.6,41.4,
16.4,18.2,30.6,
154.4,12.8,33.4,
2.6,3.0,17.8,
11.6,13.0,3.8,
2.6,3.8,8.0,
8.2,40.8,8.2,
116.0,8.2,11.8,
40.4,15.4,37.0,
46.6,14.6,8.4,
2.2,2.4,6.4,
3.2,3.8,3.0,
62.0,26.6,2.8,
179.0,3.6,9.8,
37.6,6.4,9.0,
5.2,36.8,4.4,
6.6,7.4,3.6,
52.0,26.0,12.4,
3.4,,11.8,
29.0,,13.4,
25.6,,11.6,
244.8,,5.2,
4.2,,20.6,
4.2,,26.8,
8.6,,3.6,
3.0,,8.6,
12.0,,12.4,
8.6,,14.2,
7.4,,44.4,
5.6,,2.2,
10.8,,6.0,
71.6,,13.4,
2.6,,17.0,
10.0,,27.2,
61.8,,4.2,
11.4,,8.2,
6.0,,12.8,
55.4,,32.2,
87.8,,10.6,
23.8,,2.0,
2.0,,6.4,
36.2,,8.4,
3.8,,15.0,
64.4,,3.2,
135.8,,3.6,
9.6,,7.2,
5.0,,7.2,
15.4,,8.6,
9.8,,3.2,
5.2,,6.0,
10.6,,8.4,
3.6,,4.0,
4.2,,4.2,
17.2,,13.4,
7.8,,11.4,
2.6,,16.0,
10.6,,8.4,
8.0,,22.4,
3.0,,50.2,
12.0,,6.0,
4.0,,9.0,
2.8,,13.4,
4.4,,7.4,
2.0,,26.0,
11.8,,8.6,
14.0,,22.4,
4.8,,32.2,
6.2,,62.0,
25.0,,10.6,
3.0,,6.8,
2.2,,4.4,
17.0,,,
8.2,,,
18.4,,,
3.2,,,
7.2,,,
9.8,,,
6.2,,,
2.8,,,
16.6,,,
6.4,,,
7.6,,,
16.8,,,
42.8,,,
24.0,,,
14.4,,,
11.8,,,
21.0,,,
14.6,,,
19.2,,,
66.4,,,
2.8,,,
73.0,,,
8.2,,,
2.0,,,
4.2,,,
5.4,,,
10.2,,,
24.0,,,
17.2,,,
3.6,,,
55.4,,,
21.0,,,
33.6,,,
3.8,,,
4.2,,,
5.8,,,
25.4,,,
4.8,,,
8.2,,,
7.0,,,
8.6,,,
9.6,,,
19.4,,,
5.4,,,
31.8,,,
2.4,,,
4.4,,,
6.0,,,
2.4,,,
4.6,,,
8.2,,,
4.2,,,
30.0,,,
13.6,,,
16.0,,,
4.2,,,
10.8,,,
34.2,,,
5.6,,,
72.6,,,
13.8,,,
7.4,,,
97.4,,,
3.0,,,
3.0,,,
3.8,,,
3.6,,,
6.8,,,
2.2,,,
2.2,,,
12.8,,,
2.2,,,
3.0,,,
3.6,,,
6.6,,,
2.8,,,
8.8,,,
6.0,,,
2.0,,,
9.4,,,
2.4,,,
3.8,,,
3.2,,,
3.4,,,
3.0,,,
12.2,,,
21.2,,,
2.2,,,
2.2,,,
14.6,,,
