< 0.5 to < 0.5,< 0.5 to > 0.5,> 0.5 to > 0.5,> 0.5 to < 0.5
29.2,21.6,33.8,3.2
2.6,12.8,9.4,3.2
9.6,16.6,13.0,2.4
17.4,46.0,12.0,20.8
11.8,13.0,2.2,20.0
6.8,5.6,4.8,11.8
12.0,10.8,3.6,6.6
11.0,18.6,6.6,2.2
15.8,17.8,29.8,5.0
13.8,2.0,3.4,3.2
5.6,6.0,6.0,4.0
5.8,25.8,2.6,13.8
9.8,27.8,2.4,9.0
2.6,6.2,5.6,3.2
19.0,25.2,3.0,30.0
7.2,3.4,2.6,18.0
19.2,6.2,22.4,5.0
14.4,6.8,2.2,3.2
13.2,9.6,6.0,5.4
2.6,3.4,6.8,11.0
47.0,4.4,2.4,5.0
14.4,15.6,4.6,16.0
6.0,9.2,3.6,6.4
31.8,5.6,18.4,2.8
119.4,2.2,4.2,8.4
9.4,9.4,4.8,15.2
4.0,4.2,4.4,4.2
17.2,6.6,2.2,2.0
2.0,2.2,3.0,3.2
242.2,11.4,3.0,10.2
180.6,3.6,3.8,12.0
4.6,17.4,9.8,6.6
2.2,2.0,4.2,4.6
4.8,4.4,10.8,2.8
13.6,5.8,18.6,10.8
121.8,5.8,20.4,5.0
110.0,8.8,2.6,5.6
8.2,14.0,9.8,6.2
8.4,3.0,2.2,25.6
2.8,14.6,6.0,11.6
6.2,23.0,8.4,2.0
19.4,2.0,4.0,2.4
3.2,7.8,2.6,7.4
3.6,8.4,7.4,4.4
6.0,5.8,11.6,15.8
11.6,7.4,2.4,17.8
3.6,4.6,2.2,14.0
5.6,2.0,5.0,4.8
12.0,5.4,3.6,6.4
51.6,12.0,6.6,3.2
20.4,32.0,5.6,13.0
98.4,3.6,4.0,2.2
230.6,14.2,4.4,4.2
101.8,10.0,11.0,3.4
124.0,27.4,2.2,5.2
2.6,5.6,8.4,4.6
78.8,26.2,3.8,4.6
8.2,3.4,52.2,9.0
2.4,4.8,17.4,84.0
10.6,2.8,12.6,11.0
244.4,2.0,6.6,4.6
2.4,4.0,12.8,7.2
5.8,38.0,11.4,4.4
2.2,9.0,49.0,3.4
16.8,9.0,2.8,7.0
72.6,115.4,5.2,14.2
22.8,40.0,11.0,2.6
22.2,6.0,5.6,2.2
4.8,3.6,33.4,3.4
301.6,9.8,2.8,34.8
11.0,8.4,14.6,13.4
14.4,23.8,3.4,20.6
6.4,2.6,4.2,34.0
2.4,30.2,15.0,2.8
108.0,21.0,6.0,6.4
45.2,19.2,6.0,9.2
14.4,9.0,5.0,2.0
4.6,7.0,5.8,14.2
119.4,2.0,2.8,11.0
8.4,3.4,14.0,15.8
41.6,6.8,8.8,5.2
163.6,4.0,8.0,25.0
29.6,38.2,2.2,8.6
5.2,8.8,6.2,19.6
13.4,25.2,6.6,19.0
17.4,3.0,21.0,2.8
6.4,5.2,10.4,2.6
75.2,3.4,6.6,5.6
,7.2,6.4,5.4
,11.4,8.8,4.4
,12.0,9.8,3.4
,2.6,3.6,5.2
,10.2,5.2,6.2
,24.6,5.2,7.4
,5.8,2.6,2.6
,6.4,8.0,2.4
,2.8,13.0,11.0
,5.0,8.2,6.4
,8.6,4.0,2.6
,5.2,11.6,4.2
,2.4,3.2,16.6
,9.8,12.6,27.6
,7.2,25.8,7.4
,20.4,2.4,15.6
,10.2,2.8,2.4
,14.2,8.2,8.0
,24.0,25.6,11.0
,33.0,29.0,2.4
,79.6,2.2,6.0
,14.0,22.0,3.6
,10.8,2.2,61.2
,2.6,19.0,18.4
,156.6,4.6,30.2
,9.4,4.2,28.4
,3.2,36.8,3.2
,13.2,24.2,12.8
,10.8,20.4,2.2
,11.4,16.4,14.8
,2.2,25.6,62.8
,3.6,9.0,2.6
,38.2,7.2,3.0
,34.4,6.2,20.8
,32.8,11.2,16.0
,3.6,2.0,7.4
,2.6,4.0,4.6
,8.8,12.2,3.6
,4.0,16.0,5.4
,18.6,7.0,3.0
,6.6,12.4,2.6
,14.2,18.6,3.8
,24.2,7.4,4.6
,12.0,17.2,13.0
,8.4,6.4,2.0
,32.0,2.2,19.2
,2.8,29.4,3.0
,7.6,6.6,18.0
,3.8,2.2,34.4
,14.8,9.2,18.8
,2.2,2.4,4.8
,6.2,4.4,23.2
,4.2,8.2,8.0
,7.6,5.2,3.8
,10.2,6.8,6.0
,6.0,7.0,2.2
,20.6,25.6,2.8
,34.2,26.0,71.2
,3.4,10.2,6.0
,8.4,2.4,6.2
,7.4,4.8,3.6
,4.4,4.4,2.0
,35.0,4.8,3.2
,13.4,4.4,10.0
,63.8,3.4,2.6
,23.4,2.4,8.6
,7.2,21.8,6.2
,15.8,6.0,5.8
,7.0,8.4,6.0
,9.2,4.6,13.6
,3.8,18.0,5.0
,6.6,21.6,8.4
,21.8,6.6,2.0
,7.6,3.2,6.0
,3.2,4.6,8.6
,3.6,21.4,5.4
,2.8,13.0,18.6
,13.0,3.4,41.6
,41.0,8.2,25.2
,2.4,20.6,11.0
,10.4,4.2,4.0
,5.0,10.2,2.4
,3.6,4.0,4.2
,3.6,2.2,7.2
,2.6,5.4,23.4
,6.4,20.4,3.4
,21.8,17.8,6.8
,4.4,4.2,2.6
,9.8,2.4,29.0
,36.4,7.4,11.0
,26.0,20.4,27.8
,40.2,18.8,19.2
,8.6,19.2,5.8
,3.8,10.6,
,3.6,9.2,
,5.0,2.2,
,23.4,3.8,
,,7.8,
,,7.8,
,,3.4,
,,4.6,
,,5.2,
,,10.8,
,,3.8,
,,9.0,
,,4.8,
,,5.8,
,,17.0,
,,10.8,
,,2.8,
,,5.4,
,,22.8,
,,7.2,
,,18.4,
,,4.8,
,,3.6,
,,4.2,
,,14.2,
,,10.4,
,,8.4,
,,17.4,
,,28.0,
,,16.8,
,,5.4,
,,18.0,
,,20.2,
,,15.4,
,,11.6,
,,5.4,
,,19.0,
,,3.8,
,,2.8,
,,18.6,
,,2.2,
,,3.2,
,,19.2,
,,11.0,
,,3.2,
,,2.8,
,,5.0,
,,14.2,
,,10.8,
,,31.4,
,,3.2,
,,6.2,
,,28.6,
,,11.0,
,,7.4,
,,2.8,
,,22.8,
,,4.4,
,,6.4,
,,5.0,
,,9.2,
,,11.6,
,,4.6,
,,11.4,
,,3.6,
,,35.4,
,,2.0,
,,26.6,
,,5.0,
,,15.2,
,,16.0,
,,5.0,
,,31.2,
,,7.0,
,,11.2,
,,23.8,
,,3.4,
,,3.8,
,,9.0,
,,8.8,
,,2.8,
,,13.6,
,,2.6,
,,11.6,
,,5.4,
,,14.8,
,,8.8,
,,3.4,
,,2.6,
,,4.8,
,,2.4,
,,17.2,
,,4.0,
,,4.6,
,,5.0,
,,2.8,
,,29.6,
,,6.0,
,,12.0,
,,11.0,
,,23.2,
,,19.8,
,,3.2,
,,39.0,
,,6.8,
,,2.2,
,,20.2,
,,19.2,
,,11.0,
,,2.2,
,,11.2,
,,4.8,
,,3.8,
,,3.2,
,,11.2,
,,13.6,
,,19.8,
,,34.6,
,,4.2,
,,5.0,
,,19.8,
,,24.0,
,,23.6,
,,17.0,
,,2.6,
,,4.4,
,,2.4,
,,2.2,
,,19.6,
,,5.0,
,,14.6,
,,9.8,
,,13.2,
,,3.4,
,,6.0,
,,7.6,
,,11.8,
,,7.4,
,,13.6,
,,6.4,
,,19.8,
,,3.8,
,,5.6,
,,6.2,
,,4.0,
,,22.2,
,,5.0,
,,3.4,
,,23.0,
,,3.4,
,,7.8,
,,2.4,
,,3.0,
,,47.4,
,,4.6,
,,2.6,
,,4.2,
,,2.8,
,,6.4,
,,5.4,
,,8.8,
,,10.0,
,,32.4,
,,3.8,
,,11.4,
,,11.0,
,,4.0,
,,12.0,
,,34.0,
,,2.4,
,,32.2,
,,6.0,
,,2.6,
,,3.2,
,,4.6,
,,3.8,
,,3.4,
,,5.2,
,,3.6,
,,2.8,
,,6.2,
,,11.4,
,,3.6,
,,12.0,
,,5.4,
,,15.4,
,,5.0,
,,5.6,
,,6.6,
,,3.8,
,,2.4,
,,8.8,
,,6.4,
,,3.8,
,,5.6,
,,4.8,
,,6.6,
,,4.8,
,,2.4,
,,3.0,
,,5.2,
,,5.4,
,,2.8,
,,5.0,
,,2.4,
,,12.4,
,,6.0,
,,35.4,
,,3.2,
,,17.6,
,,10.4,
,,3.8,
,,5.8,
,,27.8,
,,15.4,
,,7.8,
,,22.4,
,,8.6,
,,22.2,
,,16.6,
,,3.2,
,,2.6,
,,13.6,
,,9.2,
,,3.0,
,,7.6,
,,8.2,
,,3.6,
,,5.6,
,,7.2,
,,3.8,
,,4.2,
,,8.2,
,,10.2,
,,4.2,
,,5.2,
,,5.6,
,,7.4,
,,2.0,
,,2.2,
,,2.6,
,,4.6,
,,4.8,
,,4.0,
,,2.6,
,,8.0,
,,5.0,
,,8.4,
,,10.8,
,,6.8,
,,6.2,
,,7.8,
,,8.0,
,,2.4,
,,3.0,
,,6.0,
,,18.6,
,,4.4,
,,12.8,
,,23.0,
,,20.4,
,,4.4,
,,6.4,
,,5.4,
,,12.6,
,,6.2,
,,3.0,
,,23.0,
,,11.8,
,,8.2,
,,11.8,
,,24.6,
,,9.0,
,,5.6,
,,24.0,
,,4.0,
,,2.2,
,,3.2,
,,13.8,
,,19.8,
,,15.4,
,,16.0,
,,9.2,
,,3.2,
,,6.6,
,,3.2,
,,9.6,
,,8.2,
,,2.6,
,,15.2,
,,5.0,
,,20.4,
,,2.2,
,,14.8,
,,7.6,
,,26.2,
,,17.8,
,,9.8,
,,11.8,
,,2.8,
,,2.2,
,,19.2,
,,3.0,
,,2.6,
,,2.4,
,,20.4,
,,3.6,
,,14.6,
,,6.4,
,,22.6,
,,23.0,
,,13.8,
,,14.2,
,,11.8,
,,4.4,
,,7.4,
,,4.0,
,,3.6,
,,5.8,
,,3.8,
,,2.4,
,,2.8,
,,4.0,
,,8.2,
,,7.8,
,,2.8,
,,8.8,
,,8.2,
,,4.2,
,,8.2,
,,6.6,
,,3.0,
,,3.6,
,,5.4,
,,14.8,
,,13.4,
,,3.0,
,,8.2,
,,24.0,
,,3.8,
,,46.4,
,,5.0,
,,20.6,
,,3.0,
,,10.8,
,,6.4,
,,22.0,
,,13.4,
,,10.4,
,,15.6,
,,22.4,
,,32.4,
,,43.0,
,,11.0,
,,3.2,
,,3.2,
,,13.0,
,,7.0,
,,16.6,
,,16.4,
,,9.4,
,,16.0,
,,77.8,
,,7.6,
,,23.4,
,,12.4,
,,14.4,
,,4.8,
,,8.6,
,,3.4,
,,14.4,
,,2.0,
,,19.4,
,,3.4,
,,39.0,
,,3.8,
,,16.2,
,,7.0,
,,14.8,
,,9.6,
,,10.8,
,,5.0,
,,2.8,
,,27.6,
,,3.2,
,,16.2,
,,4.6,
,,8.4,
,,4.8,
,,2.2,
,,8.2,
,,12.4,
,,4.8,
,,5.6,
,,2.2,
,,12.2,
,,6.8,
,,3.4,
,,2.6,
,,6.4,
,,11.0,
,,10.6,
,,2.0,
,,2.0,
,,7.6,
,,4.2,
,,2.4,
,,3.2,
,,7.0,
,,7.2,
,,3.6,
,,3.0,
,,8.0,
,,4.8,
,,6.2,
,,7.0,
,,4.2,
,,19.0,
,,8.4,
,,83.8,
,,7.8,
,,4.0,
,,4.0,
,,4.2,
,,20.0,
,,13.8,
,,7.0,
,,6.0,
,,2.0,
,,2.2,
,,3.0,
,,2.4,
,,15.8,
,,6.8,
,,5.0,
,,7.0,
,,9.6,
,,2.2,
,,7.4,
,,2.8,
,,2.6,
,,16.6,
,,2.8,
,,11.4,
,,9.6,
,,18.0,
,,8.2,
,,26.4,
,,11.8,
,,2.8,
,,5.2,
,,7.2,
,,21.4,
,,3.2,
,,5.0,
,,8.0,
,,3.6,
,,16.4,
,,4.8,
,,3.6,
,,5.2,
,,14.8,
,,4.8,
,,14.0,
,,8.6,
,,5.2,
,,5.4,
,,2.8,
,,6.8,
,,3.8,
,,2.2,
,,9.0,
,,11.8,
,,5.8,
,,4.0,
,,23.2,
,,51.8,
,,5.2,
,,2.6,
,,7.6,
,,9.2,
,,5.8,
,,18.4,
,,21.4,
,,2.2,
,,16.0,
,,4.4,
,,3.2,
,,2.8,
,,11.2,
,,2.6,
,,50.8,
,,2.2,
,,4.2,
,,6.4,
,,12.8,
,,23.4,
,,11.4,
,,8.0,
,,3.2,
,,10.8,
,,11.0,
,,13.2,
,,5.6,
,,3.0,
,,8.4,
,,29.6,
,,3.8,
,,17.8,
,,4.8,
,,10.2,
,,4.6,
,,3.2,
,,3.2,
,,2.4,
,,9.2,
,,10.6,
,,5.0,
,,6.2,
,,18.0,
,,3.4,
,,9.2,
,,9.6,
,,5.6,
,,17.2,
,,17.8,
,,18.6,
,,2.0,
,,7.0,
,,5.0,
,,24.6,
,,7.4,
,,6.4,
,,3.0,
,,2.8,
,,27.0,
,,5.8,
,,3.6,
,,4.6,
,,3.8,
,,13.8,
,,22.2,
,,7.6,
,,47.0,
,,2.8,
,,19.2,
,,13.2,
,,6.0,
,,8.0,
,,38.8,
,,51.6,
,,7.2,
,,8.8,
,,2.6,
,,7.6,
,,2.0,
,,17.0,
,,9.0,
,,12.4,
,,6.6,
,,8.0,
,,25.0,
,,28.0,
,,3.6,
,,3.6,
,,5.0,
,,3.4,
,,9.4,
,,2.4,
,,2.2,
,,2.6,
,,2.2,
,,4.6,
,,6.2,
,,18.6,
,,13.4,
