Molecule,FRET_before,FRET_after,Time,number_of_frames,treatment_name,repeat
002_01_Native_1.0,0.663358,0.865227,77,416,01_Native,1.0
002_01_Native_1.0,0.865227,0.494094,31,416,01_Native,1.0
002_01_Native_1.0,0.494094,0.663358,161,416,01_Native,1.0
002_01_Native_1.0,0.663358,0.494094,94,416,01_Native,1.0
015_01_Native_1.0,0.783527,0.326089,145,151,01_Native,1.0
022_01_Native_1.0,0.562755,0.410772,24,403,01_Native,1.0
022_01_Native_1.0,0.410772,0.562755,19,403,01_Native,1.0
022_01_Native_1.0,0.562755,0.410772,37,403,01_Native,1.0
022_01_Native_1.0,0.410772,0.562755,79,403,01_Native,1.0
022_01_Native_1.0,0.562755,0.410772,62,403,01_Native,1.0
022_01_Native_1.0,0.410772,0.562755,49,403,01_Native,1.0
022_01_Native_1.0,0.562755,0.410772,39,403,01_Native,1.0
068_01_Native_1.0,0.455859,0.377825,379,604,01_Native,1.0
068_01_Native_1.0,0.377825,0.455859,182,604,01_Native,1.0
068_01_Native_1.0,0.455859,0.377825,17,604,01_Native,1.0
072_01_Native_1.0,0.568876,0.471405,214,520,01_Native,1.0
072_01_Native_1.0,0.471405,0.568876,176,520,01_Native,1.0
072_01_Native_1.0,0.568876,0.471405,18,520,01_Native,1.0
078_01_Native_1.0,0.616337,0.416302,205,374,01_Native,1.0
078_01_Native_1.0,0.416302,0.616337,26,374,01_Native,1.0
098_01_Native_1.0,0.687796,0.794923,8,501,01_Native,1.0
098_01_Native_1.0,0.794923,0.687796,142,501,01_Native,1.0
098_01_Native_1.0,0.687796,0.470718,40,501,01_Native,1.0
098_01_Native_1.0,0.470718,0.794923,19,501,01_Native,1.0
098_01_Native_1.0,0.794923,0.687796,74,501,01_Native,1.0
098_01_Native_1.0,0.687796,0.794923,18,501,01_Native,1.0
098_01_Native_1.0,0.794923,0.687796,16,501,01_Native,1.0
098_01_Native_1.0,0.687796,0.470718,22,501,01_Native,1.0
098_01_Native_1.0,0.470718,0.794923,39,501,01_Native,1.0
098_01_Native_1.0,0.794923,0.687796,62,501,01_Native,1.0
098_01_Native_1.0,0.687796,0.794923,16,501,01_Native,1.0
106_01_Native_1.0,0.708285,0.558506,152,621,01_Native,1.0
106_01_Native_1.0,0.558506,0.435745,79,621,01_Native,1.0
106_01_Native_1.0,0.435745,0.558506,171,621,01_Native,1.0
106_01_Native_1.0,0.558506,0.435745,22,621,01_Native,1.0
115_01_Native_1.0,0.698591,0.602577,115,1619,01_Native,1.0
115_01_Native_1.0,0.602577,0.698591,19,1619,01_Native,1.0
115_01_Native_1.0,0.698591,0.602577,11,1619,01_Native,1.0
115_01_Native_1.0,0.602577,0.547502,66,1619,01_Native,1.0
115_01_Native_1.0,0.547502,0.602577,24,1619,01_Native,1.0
115_01_Native_1.0,0.602577,0.547502,36,1619,01_Native,1.0
115_01_Native_1.0,0.547502,0.602577,10,1619,01_Native,1.0
115_01_Native_1.0,0.602577,0.547502,85,1619,01_Native,1.0
115_01_Native_1.0,0.547502,0.602577,29,1619,01_Native,1.0
115_01_Native_1.0,0.602577,0.698591,16,1619,01_Native,1.0
