Molecule,FRET_after,FRET_before,Total Molecule Lifetime (min),treatment,FRET_after_normalised,FRET_before_normalised,bind_and_release,bind_and_release_overtime
002_01_Native_1.0,2.0,1.0,1.3866666666666667,01_Native,1.4423076923076923,0.7211538461538461,1.0,0.7211538461538461
022_01_Native_1.0,3.0,3.0,1.3433333333333335,01_Native,2.2332506203473943,2.2332506203473943,3.0,2.2332506203473943
072_01_Native_1.0,1.0,1.0,1.7333333333333334,01_Native,0.5769230769230769,0.5769230769230769,1.0,0.5769230769230769
098_01_Native_1.0,2.0,2.0,1.6700000000000004,01_Native,1.1976047904191613,1.1976047904191613,2.0,1.1976047904191613
106_01_Native_1.0,2.0,1.0,2.07,01_Native,0.9661835748792271,0.48309178743961356,1.0,0.48309178743961356
115_01_Native_1.0,2.0,1.0,5.396666666666668,01_Native,0.37059913526868427,0.18529956763434213,1.0,0.18529956763434213
129_01_Native_1.0,4.0,4.0,1.1366666666666667,01_Native,3.5190615835777126,3.5190615835777126,4.0,3.5190615835777126
158_01_Native_1.0,5.0,5.0,3.290000000000001,01_Native,1.5197568389057747,1.5197568389057747,5.0,1.5197568389057747
161_01_Native_1.0,3.0,3.0,1.4033333333333333,01_Native,2.137767220902613,2.137767220902613,3.0,2.137767220902613
166_01_Native_1.0,2.0,2.0,1.4366666666666672,01_Native,1.3921113689095121,1.3921113689095121,2.0,1.3921113689095121
168_01_Native_1.0,2.0,3.0,2.3333333333333335,01_Native,0.8571428571428571,1.2857142857142856,2.0,0.8571428571428571
182_01_Native_1.0,1.0,1.0,1.5166666666666666,01_Native,0.6593406593406593,0.6593406593406593,1.0,0.6593406593406593
187_01_Native_1.0,2.0,3.0,1.48,01_Native,1.3513513513513513,2.027027027027027,2.0,1.3513513513513513
191_01_Native_1.0,2.0,2.0,1.3633333333333333,01_Native,1.466992665036675,1.466992665036675,2.0,1.466992665036675
193_01_Native_1.0,2.0,1.0,1.0233333333333332,01_Native,1.954397394136808,0.977198697068404,1.0,0.977198697068404
197_01_Native_1.0,1.0,1.0,1.13,01_Native,0.8849557522123894,0.8849557522123894,1.0,0.8849557522123894
204_01_Native_1.0,1.0,1.0,1.5999999999999999,01_Native,0.625,0.625,1.0,0.625
211_01_Native_1.0,4.0,4.0,2.2433333333333327,01_Native,1.7830609212481432,1.7830609212481432,4.0,1.7830609212481432
214_01_Native_1.0,3.0,2.0,2.2899999999999996,01_Native,1.310043668122271,0.8733624454148473,2.0,0.8733624454148473
220_01_Native_1.0,2.0,2.0,1.53,01_Native,1.3071895424836601,1.3071895424836601,2.0,1.3071895424836601
224_01_Native_1.0,2.0,2.0,1.7833333333333334,01_Native,1.1214953271028036,1.1214953271028036,2.0,1.1214953271028036
226_01_Native_1.0,2.0,2.0,2.3566666666666674,01_Native,0.8486562942008484,0.8486562942008484,2.0,0.8486562942008484
229_01_Native_1.0,4.0,4.0,5.093333333333334,01_Native,0.7853403141361256,0.7853403141361256,4.0,0.7853403141361256
243_01_Native_1.0,3.0,3.0,1.6900000000000002,01_Native,1.7751479289940826,1.7751479289940826,3.0,1.7751479289940826
256_01_Native_1.0,1.0,1.0,1.0433333333333334,01_Native,0.9584664536741213,0.9584664536741213,1.0,0.9584664536741213
317_01_Native_1.0,1.0,0.0,1.3099999999999998,01_Native,0.7633587786259542,0.0,0.0,
