Molecule,FRET_before,FRET_after,Time,number_of_frames,treatment_name,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s)
002_01_Native_1.0,0.663358,0.865227,77,416,01_Native,1.0,high-high,,False,0,0.0
002_01_Native_1.0,0.865227,0.494094,31,416,01_Native,1.0,high-low,high-high,False,31,6.2
002_01_Native_1.0,0.494094,0.663358,161,416,01_Native,1.0,low-high,high-low,False,161,32.2
002_01_Native_1.0,0.663358,0.494094,94,416,01_Native,1.0,high-low,low-high,False,94,18.8
007_01_Native_1.0,0.639788,0.829998,343,476,01_Native,1.0,high-high,,True,0,0.0
007_01_Native_1.0,0.829998,0.639788,19,476,01_Native,1.0,high-high,high-high,True,0,0.0
007_01_Native_1.0,0.639788,0.829998,42,476,01_Native,1.0,high-high,high-high,True,0,0.0
008_01_Native_1.0,0.730398,0.574001,66,108,01_Native,1.0,high-high,,False,0,0.0
015_01_Native_1.0,0.783527,0.326089,145,151,01_Native,1.0,high-low,,False,145,29.0
022_01_Native_1.0,0.562755,0.410772,24,403,01_Native,1.0,high-low,,False,24,4.800000000000001
022_01_Native_1.0,0.410772,0.562755,19,403,01_Native,1.0,low-high,high-low,False,19,3.8000000000000003
022_01_Native_1.0,0.562755,0.410772,37,403,01_Native,1.0,high-low,low-high,False,37,7.4
022_01_Native_1.0,0.410772,0.562755,79,403,01_Native,1.0,low-high,high-low,False,79,15.8
022_01_Native_1.0,0.562755,0.410772,62,403,01_Native,1.0,high-low,low-high,False,62,12.4
022_01_Native_1.0,0.410772,0.562755,49,403,01_Native,1.0,low-high,high-low,False,49,9.8
022_01_Native_1.0,0.562755,0.410772,39,403,01_Native,1.0,high-low,low-high,False,39,7.800000000000001
027_01_Native_1.0,0.769302,0.677977,95,306,01_Native,1.0,high-high,,False,0,0.0
031_01_Native_1.0,0.777281,0.888457,309,550,01_Native,1.0,high-high,,True,0,0.0
031_01_Native_1.0,0.888457,0.777281,106,550,01_Native,1.0,high-high,high-high,True,0,0.0
031_01_Native_1.0,0.777281,0.888457,20,550,01_Native,1.0,high-high,high-high,True,0,0.0
031_01_Native_1.0,0.888457,0.777281,9,550,01_Native,1.0,high-high,high-high,True,0,0.0
031_01_Native_1.0,0.777281,0.888457,37,550,01_Native,1.0,high-high,high-high,True,0,0.0
031_01_Native_1.0,0.888457,0.777281,14,550,01_Native,1.0,high-high,high-high,True,0,0.0
040_01_Native_1.0,0.626673,0.804736,41,127,01_Native,1.0,high-high,,False,0,0.0
054_01_Native_1.0,0.730959,0.664054,16,748,01_Native,1.0,high-high,,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,48,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,57,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,17,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,14,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,30,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,16,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,79,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,49,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,47,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,52,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,7,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,95,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,56,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,26,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.664054,0.730959,52,748,01_Native,1.0,high-high,high-high,True,0,0.0
054_01_Native_1.0,0.730959,0.664054,22,748,01_Native,1.0,high-high,high-high,True,0,0.0
057_01_Native_1.0,0.675741,0.60262,40,621,01_Native,1.0,high-high,,True,0,0.0
057_01_Native_1.0,0.60262,0.675741,97,621,01_Native,1.0,high-high,high-high,True,0,0.0
057_01_Native_1.0,0.675741,0.60262,27,621,01_Native,1.0,high-high,high-high,True,0,0.0
057_01_Native_1.0,0.60262,0.675741,376,621,01_Native,1.0,high-high,high-high,True,0,0.0
061_01_Native_1.0,0.776265,0.628191,51,206,01_Native,1.0,high-high,,False,0,0.0
063_01_Native_1.0,0.675313,0.52422,218,222,01_Native,1.0,high-high,,False,0,0.0
064_01_Native_1.0,0.755588,0.706275,257,260,01_Native,1.0,high-high,,True,0,0.0
