molecule,FRET_before,FRET_after,Time,number_of_frames,treatment,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s),transition_name
002_01_Native_1.0,0.865227,0.494094,31,416,01_Native,1.0,high-low,high-high,False,31,6.2,$T_{high-low}$
002_01_Native_1.0,0.494094,0.663358,161,416,01_Native,1.0,low-high,high-low,False,161,32.2,$T_{low-high}$
002_01_Native_1.0,0.663358,0.494094,94,416,01_Native,1.0,high-low,low-high,False,94,18.8,$T_{high-low}$
015_01_Native_1.0,0.783527,0.326089,145,151,01_Native,1.0,high-low,,False,145,29.0,$T_{high-low}$
022_01_Native_1.0,0.562755,0.410772,24,403,01_Native,1.0,high-low,,False,24,4.800000000000001,$T_{high-low}$
022_01_Native_1.0,0.410772,0.562755,19,403,01_Native,1.0,low-high,high-low,False,19,3.8,$T_{low-high}$
022_01_Native_1.0,0.562755,0.410772,37,403,01_Native,1.0,high-low,low-high,False,37,7.4,$T_{high-low}$
022_01_Native_1.0,0.410772,0.562755,79,403,01_Native,1.0,low-high,high-low,False,79,15.8,$T_{low-high}$
022_01_Native_1.0,0.562755,0.410772,62,403,01_Native,1.0,high-low,low-high,False,62,12.4,$T_{high-low}$
022_01_Native_1.0,0.410772,0.562755,49,403,01_Native,1.0,low-high,high-low,False,49,9.8,$T_{low-high}$
022_01_Native_1.0,0.562755,0.410772,39,403,01_Native,1.0,high-low,low-high,False,39,7.800000000000001,$T_{high-low}$
072_01_Native_1.0,0.568876,0.471405,214,520,01_Native,1.0,high-low,,False,214,42.8,$T_{high-low}$
072_01_Native_1.0,0.471405,0.568876,176,520,01_Native,1.0,low-high,high-low,False,176,35.2,$T_{low-high}$
072_01_Native_1.0,0.568876,0.471405,18,520,01_Native,1.0,high-low,low-high,False,18,3.6,$T_{high-low}$
078_01_Native_1.0,0.616337,0.416302,205,374,01_Native,1.0,high-low,,False,205,41.0,$T_{high-low}$
078_01_Native_1.0,0.416302,0.616337,26,374,01_Native,1.0,low-high,high-low,False,26,5.2,$T_{low-high}$
098_01_Native_1.0,0.687796,0.470718,40,501,01_Native,1.0,high-low,high-high,False,150,30.0,$T_{high-low}$
098_01_Native_1.0,0.470718,0.794923,19,501,01_Native,1.0,low-high,high-low,False,19,3.8,$T_{low-high}$
098_01_Native_1.0,0.687796,0.470718,22,501,01_Native,1.0,high-low,high-high,False,108,21.6,$T_{high-low}$
098_01_Native_1.0,0.470718,0.794923,39,501,01_Native,1.0,low-high,high-low,False,39,7.800000000000001,$T_{low-high}$
106_01_Native_1.0,0.558506,0.435745,79,621,01_Native,1.0,high-low,high-high,False,79,15.8,$T_{high-low}$
106_01_Native_1.0,0.435745,0.558506,171,621,01_Native,1.0,low-high,high-low,False,171,34.2,$T_{low-high}$
106_01_Native_1.0,0.558506,0.435745,22,621,01_Native,1.0,high-low,low-high,False,22,4.4,$T_{high-low}$
115_01_Native_1.0,0.602577,0.437865,46,1619,01_Native,1.0,high-low,high-high,False,634,126.8,$T_{high-low}$
115_01_Native_1.0,0.437865,0.547502,28,1619,01_Native,1.0,low-high,high-low,False,28,5.6000000000000005,$T_{low-high}$
115_01_Native_1.0,0.547502,0.437865,19,1619,01_Native,1.0,high-low,high-high,False,891,178.20000000000002,$T_{high-low}$
118_01_Native_1.0,0.708206,0.374216,98,252,01_Native,1.0,high-low,,False,98,19.6,$T_{high-low}$
129_01_Native_1.0,0.418582,0.577649,21,341,01_Native,1.0,low-high,,False,21,4.2,$T_{low-high}$
129_01_Native_1.0,0.577649,0.418582,27,341,01_Native,1.0,high-low,low-high,False,27,5.4,$T_{high-low}$
129_01_Native_1.0,0.418582,0.577649,7,341,01_Native,1.0,low-high,high-low,False,7,1.4,$T_{low-high}$
129_01_Native_1.0,0.577649,0.418582,106,341,01_Native,1.0,high-low,low-high,False,106,21.200000000000003,$T_{high-low}$
129_01_Native_1.0,0.418582,0.577649,6,341,01_Native,1.0,low-high,high-low,False,6,1.2000000000000002,$T_{low-high}$
129_01_Native_1.0,0.577649,0.418582,33,341,01_Native,1.0,high-low,low-high,False,33,6.6000000000000005,$T_{high-low}$
129_01_Native_1.0,0.418582,0.577649,13,341,01_Native,1.0,low-high,high-low,False,13,2.6,$T_{low-high}$
129_01_Native_1.0,0.577649,0.418582,48,341,01_Native,1.0,high-low,low-high,False,48,9.6,$T_{high-low}$
129_01_Native_1.0,0.418582,0.577649,10,341,01_Native,1.0,low-high,high-low,False,10,2.0,$T_{low-high}$
156_01_Native_1.0,0.870837,0.473912,56,221,01_Native,1.0,high-low,,False,56,11.2,$T_{high-low}$
158_01_Native_1.0,0.717614,0.452367,62,987,01_Native,1.0,high-low,high-high,False,281,56.2,$T_{high-low}$
158_01_Native_1.0,0.452367,0.598154,72,987,01_Native,1.0,low-high,high-low,False,72,14.4,$T_{low-high}$
158_01_Native_1.0,0.598154,0.452367,41,987,01_Native,1.0,high-low,high-high,False,159,31.8,$T_{high-low}$
158_01_Native_1.0,0.452367,0.830867,61,987,01_Native,1.0,low-high,high-low,False,61,12.2,$T_{low-high}$
158_01_Native_1.0,0.598154,0.452367,8,987,01_Native,1.0,high-low,high-high,False,93,18.6,$T_{high-low}$
158_01_Native_1.0,0.452367,0.598154,34,987,01_Native,1.0,low-high,high-low,False,34,6.800000000000001,$T_{low-high}$
158_01_Native_1.0,0.598154,0.452367,11,987,01_Native,1.0,high-low,low-high,False,11,2.2,$T_{high-low}$
158_01_Native_1.0,0.452367,0.598154,40,987,01_Native,1.0,low-high,high-low,False,40,8.0,$T_{low-high}$
158_01_Native_1.0,0.598154,0.452367,32,987,01_Native,1.0,high-low,high-high,False,17,3.4000000000000004,$T_{high-low}$
158_01_Native_1.0,0.452367,0.598154,27,987,01_Native,1.0,low-high,high-low,False,27,5.4,$T_{low-high}$
161_01_Native_1.0,0.605316,0.417984,15,421,01_Native,1.0,high-low,high-high,False,84,16.8,$T_{high-low}$
161_01_Native_1.0,0.417984,0.605316,13,421,01_Native,1.0,low-high,high-low,False,13,2.6,$T_{low-high}$
161_01_Native_1.0,0.605316,0.417984,13,421,01_Native,1.0,high-low,low-high,False,13,2.6,$T_{high-low}$
161_01_Native_1.0,0.417984,0.711204,8,421,01_Native,1.0,low-high,high-low,False,8,1.6,$T_{low-high}$
161_01_Native_1.0,0.711204,0.417984,8,421,01_Native,1.0,high-low,low-high,False,8,1.6,$T_{high-low}$
161_01_Native_1.0,0.417984,0.605316,23,421,01_Native,1.0,low-high,high-low,False,23,4.6000000000000005,$T_{low-high}$
166_01_Native_1.0,0.493321,0.742874,28,431,01_Native,1.0,low-high,,False,28,5.6000000000000005,$T_{low-high}$
166_01_Native_1.0,0.742874,0.493321,20,431,01_Native,1.0,high-low,low-high,False,20,4.0,$T_{high-low}$
166_01_Native_1.0,0.493321,0.742874,19,431,01_Native,1.0,low-high,high-low,False,19,3.8,$T_{low-high}$
166_01_Native_1.0,0.742874,0.493321,100,431,01_Native,1.0,high-low,high-high,False,191,38.2,$T_{high-low}$
166_01_Native_1.0,0.493321,0.922601,24,431,01_Native,1.0,low-high,high-low,False,24,4.800000000000001,$T_{low-high}$
168_01_Native_1.0,0.667503,0.424404,24,700,01_Native,1.0,high-low,,False,24,4.800000000000001,$T_{high-low}$
168_01_Native_1.0,0.424404,0.767646,9,700,01_Native,1.0,low-high,high-low,False,9,1.8,$T_{low-high}$
168_01_Native_1.0,0.667503,0.424404,19,700,01_Native,1.0,high-low,high-high,False,183,36.6,$T_{high-low}$
168_01_Native_1.0,0.424404,0.667503,10,700,01_Native,1.0,low-high,high-low,False,10,2.0,$T_{low-high}$
168_01_Native_1.0,0.667503,0.424404,54,700,01_Native,1.0,high-low,low-high,False,54,10.8,$T_{high-low}$
168_01_Native_1.0,0.424404,0.667503,9,700,01_Native,1.0,low-high,high-low,False,9,1.8,$T_{low-high}$
182_01_Native_1.0,0.484341,0.648753,338,455,01_Native,1.0,low-high,,False,338,67.60000000000001,$T_{low-high}$
182_01_Native_1.0,0.648753,0.484341,33,455,01_Native,1.0,high-low,low-high,False,33,6.6000000000000005,$T_{high-low}$
182_01_Native_1.0,0.484341,0.648753,38,455,01_Native,1.0,low-high,high-low,False,38,7.6,$T_{low-high}$
187_01_Native_1.0,0.55344,0.461543,105,444,01_Native,1.0,high-low,,False,105,21.0,$T_{high-low}$
187_01_Native_1.0,0.461543,0.55344,19,444,01_Native,1.0,low-high,high-low,False,19,3.8,$T_{low-high}$
187_01_Native_1.0,0.55344,0.461543,121,444,01_Native,1.0,high-low,low-high,False,121,24.200000000000003,$T_{high-low}$
187_01_Native_1.0,0.461543,0.55344,15,444,01_Native,1.0,low-high,high-low,False,15,3.0,$T_{low-high}$
187_01_Native_1.0,0.55344,0.461543,20,444,01_Native,1.0,high-low,low-high,False,20,4.0,$T_{high-low}$
187_01_Native_1.0,0.461543,0.55344,155,444,01_Native,1.0,low-high,high-low,False,155,31.0,$T_{low-high}$
191_01_Native_1.0,0.617139,0.466548,26,409,01_Native,1.0,high-low,,False,26,5.2,$T_{high-low}$
191_01_Native_1.0,0.466548,0.617139,142,409,01_Native,1.0,low-high,high-low,False,142,28.4,$T_{low-high}$
191_01_Native_1.0,0.617139,0.466548,68,409,01_Native,1.0,high-low,low-high,False,68,13.6,$T_{high-low}$
191_01_Native_1.0,0.466548,0.617139,16,409,01_Native,1.0,low-high,high-low,False,16,3.2,$T_{low-high}$
191_01_Native_1.0,0.617139,0.466548,155,409,01_Native,1.0,high-low,low-high,False,155,31.0,$T_{high-low}$
193_01_Native_1.0,0.768016,0.406444,4,307,01_Native,1.0,high-low,high-high,False,4,0.8,$T_{high-low}$
193_01_Native_1.0,0.406444,0.653653,28,307,01_Native,1.0,low-high,high-low,False,28,5.6000000000000005,$T_{low-high}$
