treatment,transition_type,mean_residence_time,sem,n
01_Native,< 0.5 to < 0.5,38.53333333333333,20.927281503126753,3
01_Native,< 0.5 to > 0.5,12.411111111111113,1.813285983062472,54
01_Native,> 0.5 to < 0.5,17.47605633802817,2.4600088864644025,71
01_Native,> 0.5 to > 0.5,15.209493670886067,0.7036458715025862,632
02_Misfolded,< 0.5 to < 0.5,19.7,4.45303891242324,10
02_Misfolded,< 0.5 to > 0.5,8.706666666666667,2.208888250135643,15
02_Misfolded,> 0.5 to < 0.5,9.342857142857143,1.101699367612889,28
02_Misfolded,> 0.5 to > 0.5,12.26,0.4868816655793126,630
03_A8A2,< 0.5 to < 0.5,22.192613636363646,1.482714998559853,704
03_A8A2,< 0.5 to > 0.5,40.80366972477063,4.219626261191091,218
03_A8A2,> 0.5 to < 0.5,8.588321167883212,0.7565479623500507,137
03_A8A2,> 0.5 to > 0.5,13.708487084870852,0.9358401472422757,271
04_A8B1,< 0.5 to < 0.5,38.211363636363636,6.586436268297782,88
04_A8B1,< 0.5 to > 0.5,13.630270270270275,1.293125528927125,185
04_A8B1,> 0.5 to < 0.5,10.61988950276243,0.8937022752786556,181
04_A8B1,> 0.5 to > 0.5,11.410144927536235,0.2829236529943933,1932
