frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
416,2131.528,3109.22,0.593278,0.598154,158,01_Native,1.0,158_01_Native_1.0,8,3,987,True,72.0,0.452367,0.598154,True
526,1613.474,3750.265,0.699189,0.651086,211,01_Native,1.0,211_01_Native_1.0,16,118,673,True,53.0,0.489192,0.651086,True
352,2402.597,3542.006,0.595836,0.572362,226,01_Native,1.0,226_01_Native_1.0,9,3,707,True,54.0,0.420118,0.572362,True
107,5121.902,6277.195,0.550675,0.598921,104,02_Misfolded,1.0,104_02_Misfolded_1.0,5,19,623,True,62.0,0.422985,0.598921,True
541,1573.72,4653.158,0.74727,0.687561,32,03_A8A2,2.0,032_03_A8A2_2.0,10,31,575,True,250.0,0.027447,0.687561,True
123,5341.506,6352.963,0.543245,0.509859,61,03_A8A2,2.0,061_03_A8A2_2.0,2,59,215,True,122.0,0.195167,0.509859,True
260,1225.833,3375.48,0.733591,0.714276,206,03_A8A2,2.0,206_03_A8A2_2.0,9,15,816,True,73.0,0.493722,0.714276,True
321,17606.499,19809.348,0.529437,0.545731,213,03_A8A2,2.0,213_03_A8A2_2.0,8,57,540,True,130.0,0.265001,0.545731,True
124,2531.62,3746.818,0.596775,0.60182,94,04_A8B1,1.0,094_04_A8B1_1.0,6,31,632,True,57.0,0.473114,0.60182,True
116,2991.69,3687.288,0.552074,0.574067,111,04_A8B1,1.0,111_04_A8B1_1.0,2,76,261,True,115.0,0.435662,0.574067,True
371,1287.41,4882.716,0.791348,0.7659,167,04_A8B1,1.0,167_04_A8B1_1.0,8,10,771,True,160.0,0.4315,0.7659,True
293,2052.696,3139.775,0.604678,0.593983,276,04_A8B1,1.0,276_04_A8B1_1.0,10,6,844,True,57.0,0.427116,0.593983,True
701,2516.774,3301.164,0.567411,0.593983,276,04_A8B1,1.0,276_04_A8B1_1.0,23,6,844,True,60.0,0.427116,0.593983,True
107,1432.016,2616.853,0.646317,0.614707,277,04_A8B1,1.0,277_04_A8B1_1.0,3,5,1185,True,51.0,0.490173,0.614707,True
368,1222.177,3797.704,0.756533,0.731418,353,04_A8B1,1.0,353_04_A8B1_1.0,4,19,876,True,172.0,0.094832,0.731418,True
205,1831.017,3780.94,0.673729,0.506315,356,04_A8B1,1.0,356_04_A8B1_1.0,4,6,701,True,60.0,0.085106,0.506315,True
